DateTime;Power_kW
231;300
232;330
233;365
234;395
235;365
236;395
237;365
238;395
239;365
240;395
241;365
242;395
243;365
244;395
245;365
246;395
247;365
248;395
249;290
250;320
251;300
252;330
253;290
254;320
255;300
256;330
257;365
258;395
259;365
260;395
261;365
262;395
263;365
264;395
265;365
266;395
267;365
268;395
269;365
270;395
271;365
272;395
273;1072,5
274;1128,8
275;1743,8
276;1773,8
277;1097,7
278;1126,5
279;1741,5
280;1771,5
281;1171,5
282;1172,8
283;1142,8
284;1169,3
285;1141,6
286;1171,6
287;1142,8
288;1172,8
289;365
290;395
291;365
292;395
293;365
294;395
295;365
296;395
297;1078,4
298;1137
299;1752
300;1782
301;1107
302;1137
303;1754,4
304;1786,7
305;1189,1
306;1192,7
307;1163,9
308;1195,1
309;1167,4
310;1197,4
311;1168,6
312;1199,8
313;365
314;395
315;365
316;395
317;365
318;395
319;365
320;395
321;1092,4
322;1144,1
323;1754,4
324;1784,4
325;1103,5
326;1133,5
327;1747,3
328;1778,5
329;1178,5
330;1181
331;1152,2
332;1182,2
333;1151
334;1181
335;1151
336;1182,2
337;365
338;395
339;365
340;395
341;365
342;395
343;365
344;395
345;1079,5
346;1137
347;1749,7
348;1776,2
349;1098,8
350;1127,7
351;1742,7
352;1773,8
353;1176,2
354;1178,7
355;1151
356;1182,2
357;1152,2
358;1182,2
359;1154,5
360;1184,5
361;365
362;395
363;365
364;395
365;365
366;395
367;365
368;395
369;1076
370;1127,7
371;1739,1
372;1767,8
373;1092,8
374;1123,8
375;1739,1
376;1769,1
377;1175
378;1181
379;1153,4
380;1185,7
381;1158
382;1190,4
383;1162,7
384;1193,9
385;365
386;395
387;365
388;395
389;365
390;395
391;365
392;395
393;290
394;320
395;300
396;330
397;290
398;320
399;300
400;330
401;365
402;395
403;365
404;395
405;365
406;395
407;365
408;395
409;365
410;395
411;365
412;395
413;365
414;395
415;365
416;395
417;290
418;320
419;300
420;330
421;290
422;320
423;300
424;330
425;365
426;395
427;365
428;395
429;365
430;395
431;365
432;395
433;365
434;395
435;365
436;395
437;365
438;395
439;365
440;395
441;1067,8
442;1123
443;1736,8
444;1768,8
445;1091,8
446;1123,8
447;1737,8
448;1766,8
449;1166,8
450;1170,5
451;1140,5
452;1170,5
453;1141,6
454;1170,5
455;1141,6
456;1171,6
457;365
458;395
459;365
460;395
461;365
462;395
463;365
464;395
465;1070,2
466;1125,3
467;1738
468;1767,8
469;1091,8
470;1121,8
471;1737,8
472;1766,8
473;1168
474;1171,6
475;1141,6
476;1172,8
477;1145,2
478;1177,5
479;1147,5
480;1178,7
481;365
482;395
483;365
484;395
485;365
486;395
487;365
488;395
489;1081,9
490;1137
491;1750,9
492;1778,5
493;1100
494;1130
495;1743,8
496;1773,8
497;1175
498;1176,3
499;1148,7
500;1177,5
501;1147,5
502;1179,8
503;1149,8
504;1178,7
505;365
506;395
507;365
508;395
509;365
510;395
511;365
512;395
513;1072,5
514;1131,2
515;1743,8
516;1772,7
517;1094,1
518;1124,1
519;1738
520;1768
521;1169,1
522;1172,8
523;1144
524;1175,2
525;1147,5
526;1178,7
527;1149,8
528;1181
529;365
530;395
531;365
532;395
533;365
534;395
535;365
536;395
537;1076
538;1131,2
539;1743,8
540;1771,5
541;1094,1
542;1123
543;1738
544;1769,1
545;1170,3
546;1174
547;1142,8
548;1174
549;1144
550;1174
551;1145,2
552;1175,2
553;365
554;395
555;365
556;395
557;365
558;395
559;365
560;395
561;290
562;320
563;300
564;330
565;290
566;320
567;300
568;330
569;365
570;395
571;365
572;395
573;365
574;395
575;365
576;395
577;365
578;395
579;365
580;395
581;365
582;395
583;365
584;395
585;290
586;320
587;300
588;331,7
589;293,4
590;323,4
591;303,4
592;331,7
593;365
594;395
595;365
596;395
597;365
598;395
599;365
600;395
601;365
602;395
603;365
604;395
605;365
606;395
607;365
608;395
609;1081,9
610;1139,4
611;1754,4
612;1784,4
613;1111,7
614;1141,7
615;1759,1
616;1787,9
617;1189,1
618;1186,9
619;1156,9
620;1186,9
621;1155,7
622;1186,9
623;1156,9
624;1189,2
625;365
626;395
627;365
628;395
629;365
630;395
631;365
632;395
633;1086,6
634;1140,5
635;1754,4
636;1782
637;1107
638;1134,7
639;1749,7
640;1780,9
641;1180,9
642;1184,5
643;1155,7
644;1186,9
645;1159,2
646;1191,6
647;1162,7
648;1193,9
649;365
650;395
651;365
652;395
653;365
654;395
655;365
656;395
657;1087,7
658;1141,7
659;1754,4
660;1780,9
661;1104,7
662;1132,3
663;1745
664;1776,2
665;1176,2
666;1181
667;1152,2
668;1183,4
669;1153,4
670;1186,9
671;1156,9
672;1189,2
673;365
674;395
675;365
676;395
677;365
678;395
679;365
680;395
681;1090,1
682;1141,7
683;1752
684;1779,7
685;1104,7
686;1133,5
687;1748,5
688;1778,5
689;1177,3
690;1178,7
691;1148,7
692;1178,7
693;1148,7
694;1178,7
695;1148,7
696;1178,7
697;365
698;395
699;365
700;395
701;365
702;395
703;365
704;395
705;1076
706;1131,2
707;1742,7
708;1772,7
709;1096,5
710;1125,3
711;1739,1
712;1771,5
713;1175
714;1181
715;1154,5
716;1189,2
717;1162,7
718;1193,9
719;1165,1
720;1195,1
721;365
722;395
723;365
724;395
725;365
726;395
727;365
728;395
729;290
730;320
731;300
732;330
733;290
734;320
735;300
736;330
737;365
738;395
739;365
740;395
741;365
742;395
743;365
744;395
745;365
746;395
747;365
748;395
749;365
750;395
751;365
752;320
753;290
754;320
755;300
756;330
757;290
758;320
759;300
760;330
761;290
762;395
763;365
764;395
765;365
766;395
767;365
768;395
769;365
770;395
771;365
772;395
773;365
774;395
775;365
776;320
777;1076
778;1133,5
779;1748,5
780;1780,9
781;1107
782;1137
783;1754,4
784;1784,4
785;1109,4
786;1186,9
787;1160,4
788;1192,7
789;1166,3
790;1198,6
791;1169,8
792;1199,8
793;365
794;395
795;365
796;395
797;365
798;395
799;365
800;320
801;1091,3
802;1147,6
803;1761,4
804;1789,1
805;1111,7
806;1140,5
807;1755,5
808;1785,5
809;1110,5
810;1189,2
811;1160,4
812;1192,7
813;1163,9
814;1193,9
815;1162,7
816;1191,6
817;365
818;395
819;365
820;395
821;365
822;395
823;365
824;320
825;1079,5
826;1133,5
827;1746,2
828;1775
829;1098,8
830;1126,5
831;1740,3
832;1768
833;1094,1
834;1172,8
835;1142,8
836;1171,6
837;1142,8
838;1170,5
839;1141,6
840;1172,8
841;365
842;395
843;365
844;395
845;365
846;395
847;365
848;320
849;1077,2
850;1135,9
851;1750,9
852;1780,9
853;1105,9
854;1131,2
855;1746,2
856;1779,7
857;1108,2
858;1190,4
859;1163,9
860;1195,1
861;1167,4
862;1198,6
863;1169,8
864;1200,9
865;365
866;395
867;365
868;395
869;365
870;395
871;365
872;320
873;1094,8
874;1149,9
875;1762,6
876;1791,4
877;1114,1
878;1141,7
879;1753,2
880;1782
881;1108,2
882;1185,7
883;1155,7
884;1186,9
885;1156,9
886;1189,2
887;1163,9
888;1192,7
889;365
890;395
891;365
892;395
893;365
894;395
895;365
896;320
897;290
898;320
899;300
900;330
901;290
902;320
903;300
904;330
905;290
906;395
907;365
908;395
909;365
910;395
911;365
912;395
913;365
914;395
915;365
916;395
917;365
918;395
919;365
920;320
921;290
922;320
923;300
924;330
925;290
926;320
927;300
928;330
929;290
930;395
931;365
932;395
933;365
934;395
935;365
936;395
937;365
938;395
939;365
940;395
941;365
942;395
943;365
944;320
945;1079,5
946;1137
947;1752
948;1782
949;1108,2
950;1138,2
951;1753,2
952;1783,2
953;1107
954;1184,5
955;1155,7
956;1184,5
957;1154,5
958;1184,5
959;1154,5
960;1185,7
961;365
962;395
963;365
964;395
965;365
966;395
967;365
968;320
969;1079,5
970;1134,7
971;1748,5
972;1777,3
973;1100
974;1126,5
975;1740,3
976;1770,3
977;1095,3
978;1174
979;1146,3
980;1177,5
981;1149,8
982;1181
983;1154,5
984;1183,4
985;365
986;395
987;365
988;395
989;365
990;395
991;365
992;320
993;1084,2
994;1139,4
995;1753,2
996;1782
997;1104,7
998;1132,3
999;1746,2
1000;1775
1001;1101,2
1002;1179,8
1003;1151
1004;1182,2
1005;1153,4
1006;1184,5
1007;1154,5
1008;1184,5
1009;365
1010;395
1011;365
1012;395
1013;365
1014;395
1015;365
1016;320
1017;1076
1018;1131,2
1019;1743,8
1020;1771,5
1021;1096,5
1022;1123
1023;1739,1
1024;1770,3
1025;1097,7
1026;1176,3
1027;1147,5
1028;1182,2
1029;1155,7
1030;1188
1031;1162,7
1032;1198,6
1033;365
1034;395
1035;365
1036;395
1037;365
1038;395
1039;365
1040;320
1041;1099,5
1042;1154,6
1043;1767,3
1044;1793,8
1045;1116,4
1046;1146,4
1047;1760,2
1048;1789,1
1049;1115,2
1050;1193,9
1051;1163,9
1052;1196,3
1053;1166,3
1054;1196,3
1055;1167,4
1056;1197,4
1057;365
1058;395
1059;365
1060;395
1061;365
1062;395
1063;365
1064;320
1065;290
1066;320
1067;300
1068;330
1069;290
1070;320
1071;300
1072;330
1073;290
1074;395
1075;365
1076;395
1077;365
1078;395
1079;365
1080;395
1081;365
1082;395
1083;365
1084;395
1085;365
1086;395
1087;365
1088;320
1089;290
1090;320
1091;300
1092;330
1093;290
1094;320
1095;300
1096;330
1097;290
1098;395
1099;365
1100;395
1101;365
1102;395
1103;365
1104;395
1105;365
1106;395
1107;365
1108;395
1109;365
1110;395
1111;365
1112;320
1113;1104,1
1114;1157
1115;1768,4
1116;1794,9
1117;1116,4
1118;1145,2
1119;1760,2
1120;1790,2
1121;1115,2
1122;1193,9
1123;1162,7
1124;1193,9
1125;1163,9
1126;1193,9
1127;1163,9
1128;1193,9
1129;365
1130;395
1131;365
1132;395
1133;365
1134;395
1135;365
1136;320
1137;1094,8
1138;1149,9
1139;1763,8
1140;1791,4
1141;1112,9
1142;1139,4
1143;1753,2
1144;1782
1145;1108,2
1146;1186,9
1147;1158
1148;1188
1149;1159,2
1150;1190,4
1151;1161,6
1152;1191,6
1153;365
1154;395
1155;365
1156;395
1157;365
1158;395
1159;365
1160;320
1161;1088,9
1162;1144,1
1163;1754,4
1164;1782
1165;1104,7
1166;1133,5
1167;1748,5
1168;1779,7
1169;1104,7
1170;1182,2
1171;1152,2
1172;1183,4
1173;1155,7
1174;1185,7
1175;1155,7
1176;1186,9
1177;365
1178;395
1179;365
1180;395
1181;365
1182;395
1183;365
1184;320
1185;1093,6
1186;1148,8
1187;1760,2
1188;1789,1
1189;1112,9
1190;1144,1
1191;1759,1
1192;1790,2
1193;1118,8
1194;1198,6
1195;1169,8
1196;1200,9
1197;1172,1
1198;1204,5
1199;1175,6
1200;1208
1201;365
1202;395
1203;365
1204;395
1205;365
1206;395
1207;365
1208;320
1209;1106,5
1210;1161,6
1211;1773,1
1212;1798,4
1213;1119,9
1214;1147,6
1215;1760,2
1216;1791,4
1217;1116,4
1218;1196,3
1219;1167,4
1220;1198,6
1221;1169,8
1222;1200,9
1223;1172,1
1224;1204,5
1225;365
1226;395
1227;365
1228;395
1229;365
1230;395
1231;365
1232;320
1233;290
1234;320
1235;300
1236;330
1237;290
1238;320
1239;300
1240;330
1241;290
1242;395
1243;365
1244;395
1245;365
1246;395
1247;365
1248;395
1249;365
1250;395
1251;365
1252;395
1253;365
1254;395
1255;365
1256;320
1257;290
1258;320
1259;300
1260;330
1261;290
1262;320
1263;301,7
1264;333,4
1265;291,7
1266;395
1267;365
1268;395
1269;365
1270;395
1271;365
1272;395
1273;365
1274;395
1275;365
1276;395
1277;365
1278;395
1279;365
1280;320
1281;1085,4
1282;1144,1
1283;1759,1
1284;1786,7
1285;1111,7
1286;1140,5
1287;1755,5
1288;1787,9
1289;1116,4
1290;1196,3
1291;1168,6
1292;1200,9
1293;1173,3
1294;1204,5
1295;1176,8
1296;1208
1297;365
1298;395
1299;365
1300;395
1301;365
1302;395
1303;365
1304;320
1305;1099,5
1306;1154,6
1307;1768,4
1308;1794,9
1309;1117,6
1310;1146,4
1311;1760,2
1312;1789,1
1313;1112,9
1314;1190,4
1315;1161,6
1316;1191,6
1317;1161,6
1318;1191,6
1319;1163,9
1320;1192,7
1321;365
1322;395
1323;365
1324;395
1325;365
1326;395
1327;365
1328;320
1329;1080,7
1330;1132,3
1331;1745
1332;1773,8
1333;1097,7
1334;1126,5
1335;1741,5
1336;1771,5
1337;1096,5
1338;1175,2
1339;1146,3
1340;1178,7
1341;1148,7
1342;1178,7
1343;1152,2
1344;1182,2
1345;365
1346;395
1347;365
1348;395
1349;365
1350;395
1351;365
1352;320
1353;1087,7
1354;1144,1
1355;1757,9
1356;1786,7
1357;1110,5
1358;1140,5
1359;1754,4
1360;1783,2
1361;1107
1362;1184,5
1363;1155,7
1364;1186,9
1365;1156,9
1366;1188
1367;1159,2
1368;1190,4
1369;365
1370;395
1371;365
1372;395
1373;365
1374;395
1375;365
1376;320
1377;1087,7
1378;1142,9
1379;1756,7
1380;1783,2
1381;1107
1382;1134,7
1383;1748,5
1384;1779,7
1385;1104,7
1386;1183,4
1387;1154,5
1388;1186,9
1389;1158
1390;1189,2
1391;1160,4
1392;1192,7
1393;365
1394;395
1395;365
1396;395
1397;365
1398;395
1399;365
1400;320
1401;290
1402;320
1403;300
1404;330
1405;290
1406;320
1407;300
1408;330
1409;290
1410;395
1411;365
1412;395
1413;365
1414;395
1415;365
1416;395
1417;365
1418;395
1419;365
1420;395
1421;365
1422;395
1423;290
1424;320
1425;290
1426;320
1427;300
1428;330
1429;290
1430;320
1431;300
1432;330
1433;290
1434;395
1435;365
1436;395
1437;365
1438;395
1439;365
1440;395
1441;365
1442;395
1443;365
1444;395
1445;365
1446;395
1447;290
1448;320
1449;1071,3
1450;1128,8
1451;1742,7
1452;1771,5
1453;1095,3
1454;1124,1
1455;1739,1
1456;1769,1
1457;1095,3
1458;1175,2
1459;1146,3
1460;1178,7
1461;1149,8
1462;1181
1463;1153,4
1464;1184,5
1465;365
1466;395
1467;365
1468;395
1469;365
1470;395
1471;290
1472;320
1473;1081,9
1474;1137
1475;1749,7
1476;1778,5
1477;1102,3
1478;1132,3
1479;1746,2
1480;1778,5
1481;1105,9
1482;1183,4
1483;1153,4
1484;1181
1485;1151
1486;1176,3
1487;1146,3
1488;1176,3
1489;365
1490;395
1491;365
1492;395
1493;365
1494;395
1495;290
1496;320
1497;1069
1498;1125,3
1499;1739,1
1500;1768
1501;1092,8
1502;1149,4
1503;1764,4
1504;1794,4
1505;1118,4
1506;1198,5
1507;1165,9
1508;1170,5
1509;1140,5
1510;1170,5
1511;1165,9
1512;1195,9
1513;365
1514;395
1515;365
1516;395
1517;365
1518;395
1519;290
1520;320
1521;1076
1522;1135,9
1523;1752
1524;1784,4
1525;1109,4
1526;1144,1
1527;1756,7
1528;1786,7
1529;1114,1
1530;1191,6
1531;1161,6
1532;1190,4
1533;1159,2
1534;1190,4
1535;1161,6
1536;1192,7
1537;365
1538;395
1539;365
1540;395
1541;365
1542;395
1543;290
1544;320
1545;1092,4
1546;1145,2
1547;1760,2
1548;1785,5
1549;1109,4
1550;1140,5
1551;1753,2
1552;1782
1553;1109,4
1554;1189,2
1555;1159,2
1556;1190,4
1557;1162,7
1558;1195,1
1559;1163,9
1560;1195,1
1561;365
1562;395
1563;365
1564;395
1565;365
1566;395
1567;290
1568;320
1569;290
1570;320
1571;300
1572;330
1573;290
1574;320
1575;300
1576;330
1577;290
1578;395
1579;365
1580;395
1581;365
1582;395
1583;365
1584;395
1585;365
1586;395
1587;365
1588;395
1589;365
1590;395
1591;290
1592;320
1593;290
1594;328,6
1595;312,1
1596;340,3
1597;302,1
1598;325,2
1599;310,3
1600;338,6
1601;298,6
1602;403,6
1603;371,9
1604;395
1605;366,7
1606;395
1607;365
1608;395
1609;365
1610;395
1611;365
1612;395
1613;365
1614;395
1615;290
1616;321,7
1617;1068,2
1618;1126,7
1619;1773,1
1620;1807,4
1621;1135,2
1622;1167,4
1623;1782,4
1624;1815,2
1625;1140,2
1626;1209,3
1627;1146,2
1628;1172,2
1629;1146,2
1630;1172,2
1631;1140,3
1632;1170,3
1633;365
1634;395
1635;365
1636;395
1637;365
1638;395
1639;290
1640;321,7
1641;1068,2
1642;1155,3
1643;1775,9
1644;1808,7
1645;1137,2
1646;1167,2
1647;1782,8
1648;1802,9
1649;1129,2
1650;1205
1651;1174,6
1652;1202,4
1653;1172,4
1654;1203
1655;1172,4
1656;1203
1657;401,8
1658;432,4
1659;402,4
1660;432,4
1661;401,8
1662;430,1
1663;320,3
1664;361,5
1665;1106,6
1666;1174
1667;1790,5
1668;1821,2
1669;1167,1
1670;1204,6
1671;1823,9
1672;1835,6
1673;1155,7
1674;1225,4
1675;1192,4
1676;1216,2
1677;1181,9
1678;1206,3
1679;1149,4
1680;1176,2
1681;375,3
1682;401,9
1683;370,2
1684;400,2
1685;368,4
1686;396,7
1687;291,7
1688;323,4
1689;1067,2
1690;1126,7
1691;1742,7
1692;1773,7
1693;1099,7
1694;1131,9
1695;1746,9
1696;1776,9
1697;1098,7
1698;1173,2
1699;1142,2
1700;1170,3
1701;1139,3
1702;1170,5
1703;1142,8
1704;1174
1705;365
1706;395
1707;365
1708;395
1709;365
1710;395
1711;290
1712;320
1713;1067,8
1714;1123
1715;1736,8
1716;1766,8
1717;1091,8
1718;1122,8
1719;1737,8
1720;1767,8
1721;1091,8
1722;1169,3
1723;1139,3
1724;1170,5
1725;1139,3
1726;1170,5
1727;1140,5
1728;1169,3
1729;365
1730;396,7
1731;365
1732;395
1733;365
1734;395
1735;290
1736;352,7
1737;326,8
1738;357,4
1739;337,4
1740;369,8
1741;334,5
1742;366,9
1743;348,6
1744;378,6
1745;338
1746;438,9
1747;408,9
1748;436,5
1749;404,1
1750;436,5
1751;401,8
1752;431,8
1753;399,4
1754;429,4
1755;398,8
1756;427,5
1757;366,7
1758;398,4
1759;293,4
1760;325,2
1761;295,2
1762;326,9
1763;305,2
1764;335,2
1765;295,2
1766;326,9
1767;305,2
1768;333,4
1769;291,7
1770;396,7
1771;365
1772;395
1773;365
1774;395
1775;365
1776;395
1777;365
1778;395
1779;365
1780;395
1781;365
1782;395
1783;290
1784;320
1785;1065,5
1786;1121,8
1787;1740,7
1788;1772,7
1789;1127,5
1790;1159,7
1791;1778,1
1792;1813
1793;1138
1794;1210,6
1795;1178,4
1796;1203,5
1797;1176,3
1798;1206,3
1799;1174,1
1800;1202,4
1801;405,7
1802;438
1803;406,3
1804;433,9
1805;403,9
1806;434,6
1807;329,6
1808;357,9
1809;1100,4
1810;1176,2
1811;1817,4
1812;1827,7
1813;1152
1814;1178,6
1815;1788,6
1816;1804,7
1817;1096,7
1818;1170,3
1819;1141,6
1820;1174
1821;1145,2
1822;1176,3
1823;1146,3
1824;1176,3
1825;365
1826;395
1827;365
1828;395
1829;365
1830;395
1831;290
1832;320
1833;1074,8
1834;1130
1835;1742,7
1836;1771,5
1837;1095,3
1838;1123,8
1839;1736,8
1840;1766,8
1841;1093
1842;1172,8
1843;1145,2
1844;1176,3
1845;1147,5
1846;1178,7
1847;1153,4
1848;1179,8
1849;365
1850;395
1851;365
1852;395
1853;365
1854;395
1855;290
1856;320
1857;1073,7
1858;1128,8
1859;1741,5
1860;1768
1861;1091,8
1862;1122,8
1863;1739,7
1864;1770,7
1865;1094,7
1866;1170,3
1867;1139,3
1868;1170,5
1869;1141,6
1870;1172,8
1871;1145,2
1872;1178,7
1873;365
1874;395
1875;365
1876;395
1877;365
1878;395
1879;290
1880;320
1881;1069
1882;1126,5
1883;1740,3
1884;1771,5
1885;1098,8
1886;1130
1887;1743,8
1888;1776,2
1889;1101,2
1890;1179,8
1891;1151
1892;1181
1893;1151
1894;1181
1895;1153,4
1896;1183,4
1897;365
1898;395
1899;365
1900;395
1901;365
1902;395
1903;290
1904;320
1905;290
1906;320
1907;300
1908;330
1909;290
1910;323,4
1911;332,5
1912;364,9
1913;328,9
1914;431,6
1915;399,9
1916;432,2
1917;404,6
1918;434,6
1919;399,2
1920;400,2
1921;368,4
1922;396,7
1923;365
1924;395
1925;365
1926;395
1927;290
1928;320
1929;290
1930;320
1931;300
1932;331,7
1933;295,2
1934;323,4
1935;306,9
1936;333,4
1937;291,7
1938;395
1939;365
1940;395
1941;365
1942;395
1943;365
1944;395
1945;365
1946;395
1947;365
1948;395
1949;365
1950;395
1951;290
1952;320
1953;1077,2
1954;1130
1955;1743,8
1956;1770,3
1957;1093
1958;1121,8
1959;1738
1960;1769,1
1961;1094,1
1962;1174
1963;1145,2
1964;1176,3
1965;1148,7
1966;1179,8
1967;1149,8
1968;1179,8
1969;365
1970;395
1971;365
1972;395
1973;365
1974;395
1975;290
1976;320
1977;1074,8
1978;1128,8
1979;1740,3
1980;1768
1981;1092,8
1982;1124,7
1983;1741,7
1984;1771,7
1985;1097,7
1986;1172,2
1987;1140,3
1988;1170,5
1989;1144
1990;1175,2
1991;1144
1992;1176,3
1993;365
1994;395
1995;365
1996;395
1997;365
1998;395
1999;290
2000;320
2001;1065,3
2002;1124,7
2003;1743,7
2004;1771,7
2005;1096,7
2006;1123,8
2007;1736,8
2008;1766,8
2009;1091,8
2010;1169,3
2011;1140,5
2012;1170,5
2013;1140,5
2014;1169,3
2015;1165,9
2016;1195,9
2017;394,7
2018;426,4
2019;394,7
2020;426,4
2021;392,3
2022;427,1
2023;320,3
2024;352,1
2025;1097,4
2026;1154,9
2027;1773,1
2028;1802,1
2029;1130,5
2030;1186,4
2031;1801,4
2032;1838,6
2033;1165,7
2034;1243,2
2035;1237,2
2036;1265
2037;1213,2
2038;1233,9
2039;1177,3
2040;1204
2041;404,1
2042;431,1
2043;401,1
2044;430,5
2045;395,8
2046;395
2047;290
2048;320
2049;1065,3
2050;1150,3
2051;1765,3
2052;1799,6
2053;1123,3
2054;1153,3
2055;1768,3
2056;1799,3
2057;1097,7
2058;1174,2
2059;1144,2
2060;1173,2
2061;1142,2
2062;1172,2
2063;1141,3
2064;1169,3
2065;365
2066;395
2067;365
2068;395
2069;365
2070;395
2071;290
2072;320
2073;290
2074;320
2075;300
2076;333,4
2077;295,2
2078;323,4
2079;305,2
2080;335,2
2081;290
2082;395
2083;365
2084;395
2085;365
2086;395
2087;365
2088;395
2089;365
2090;395
2091;365
2092;395
2093;365
2094;395
2095;290
2096;320
2097;290
2098;320
2099;300
2100;331,7
2101;296,9
2102;328,6
2103;308,6
2104;342,1
2105;302,1
2106;403,6
2107;370,2
2108;398,4
2109;365
2110;395
2111;365
2112;395
2113;365
2114;395
2115;365
2116;395
2117;365
2118;395
2119;290
2120;320
2121;1066,6
2122;1121,8
2123;1740,7
2124;1803,1
2125;1140,8
2126;1170,2
2127;1780,2
2128;1809,6
2129;1136,8
2130;1213,6
2131;1179,3
2132;1181,6
2133;1171,8
2134;1175,2
2135;1143,2
2136;1197,8
2137;368,4
2138;398,4
2139;366,7
2140;396,7
2141;365
2142;395
2143;291,7
2144;326,9
2145;1069,2
2146;1127,7
2147;1742,7
2148;1771,7
2149;1095,7
2150;1122,8
2151;1738
2152;1768
2153;1093
2154;1172,8
2155;1144
2156;1175,2
2157;1144
2158;1172,8
2159;1142,8
2160;1172,8
2161;365
2162;395
2163;365
2164;395
2165;365
2166;395
2167;290
2168;320
2169;1065,5
2170;1123,8
2171;1741,7
2172;1774,7
2173;1099,7
2174;1134,1
2175;1749,1
2176;1811,1
2177;1134
2178;1106,6
2179;1149,4
2180;1176,2
2181;1144,2
2182;1173,2
2183;1143,2
2184;1170,3
2185;365
2186;395
2187;365
2188;395
2189;365
2190;395
2191;290
2192;328,6
2193;1107,7
2194;1180,1
2195;1802,2
2196;1839,9
2197;1167,7
2198;1224,1
2199;1846,8
2200;1859,4
2201;1184,4
2202;1168,1
2203;1208,1
2204;1233,2
2205;1200,4
2206;1226,1
2207;1199,5
2208;1229,5
2209;430,8
2210;460,8
2211;430,8
2212;460,8
2213;448,4
2214;476,7
2215;374,4
2216;411,5
2217;1157,4
2218;1212,5
2219;1830,6
2220;1858,4
2221;1184,4
2222;1219,7
2223;1837,8
2224;1866,8
2225;1191,8
2226;1192,2
2227;1234,1
2228;1261,9
2229;1231,9
2230;1261,9
2231;1232,9
2232;1259,7
2233;458,8
2234;483,4
2235;449
2236;487,8
2237;440,8
2238;442,3
2239;331,3
2240;364,8
2241;337,6
2242;371
2243;351
2244;382,1
2245;341,5
2246;372,1
2247;351,5
2248;381,5
2249;310,7
2250;337,2
2251;378,8
2252;407,1
2253;375,3
2254;403,6
2255;371,9
2256;400,2
2257;365
2258;396,7
2259;365
2260;395
2261;365
2262;395
2263;293,4
2264;330,3
2265;307,2
2266;371
2267;359,2
2268;398
2269;357,4
2270;389,1
2271;367,4
2272;397,4
2273;357,4
2274;387,4
2275;425,9
2276;455,9
2277;414,5
2278;440,4
2279;408
2280;435,7
2281;401,6
2282;429,9
2283;397,5
2284;425,8
2285;395,8
2286;425,8
2287;291,7
2288;361,3
2289;1104,7
2290;1174,3
2291;1786,5
2292;1823,6
2293;1153,5
2294;1210,1
2295;1822,9
2296;1852,9
2297;1174,6
2298;1177,1
2299;1216,8
2300;1252,1
2301;1227,3
2302;1255,2
2303;1222,1
2304;1252,1
2305;447,5
2306;457,4
2307;444
2308;472,3
2309;442,3
